S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
1,BISHNU PADA RAY,Bharatiya Janata Party,102182,254,102436,50.58,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
2,KULDEEP RAI SHARMA,Indian National Congress,77829,211,78040,38.54,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2
3,MANOJ PAUL,Andaman Nicobar Democratic Congress,8236,18,8254,4.08,Andaman & Nicobar Islands,Andaman & Nicobar Islands,3
4,D AYYAPPAN,Communist Party of India  (Marxist),6009,8,6017,2.97,Andaman & Nicobar Islands,Andaman & Nicobar Islands,4
5,V.K. ABDUL AZIZ,Independent,2195,8,2203,1.09,Andaman & Nicobar Islands,Andaman & Nicobar Islands,5
6,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,911,3,914,0.45,Andaman & Nicobar Islands,Andaman & Nicobar Islands,6
7,DR ARUN KUMAR MALLIK,Bahujan Samaj Party,714,5,719,0.36,Andaman & Nicobar Islands,Andaman & Nicobar Islands,7
8,RINKU MALA MONDAL,Independent,539,3,542,0.27,Andaman & Nicobar Islands,Andaman & Nicobar Islands,8
9,K VENKAT RAM BABU,Independent,506,1,507,0.25,Andaman & Nicobar Islands,Andaman & Nicobar Islands,9
10,USHA KUMARI,Independent,378,2,380,0.19,Andaman & Nicobar Islands,Andaman & Nicobar Islands,10
11,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),349,2,351,0.17,Andaman & Nicobar Islands,Andaman & Nicobar Islands,11
12,ANAND RAMNATH ARLEKAR,Independent,342,-,342,0.17,Andaman & Nicobar Islands,Andaman & Nicobar Islands,12
13,NOTA,None of the Above,1802,7,1809,0.89,Andaman & Nicobar Islands,Andaman & Nicobar Islands,13
1,G M HARISH (BALAYOGI),Telugu Desam,786149,10832,796981,61.25,Amalapuram,Andhra Pradesh,14
2,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,450362,4423,454785,34.95,Amalapuram,Andhra Pradesh,15
3,GOUTHAM JANGA,Indian National Congress,14523,559,15082,1.16,Amalapuram,Andhra Pradesh,16
4,DORABABU YALLA,Bahujan Samaj Party,5202,186,5388,0.41,Amalapuram,Andhra Pradesh,17
5,KATRU NAGA BABU,Telugu Nava Garjana Party,3736,5,3741,0.29,Amalapuram,Andhra Pradesh,18
6,VADDI LALITH KUMAR,Independent,2974,3,2977,0.23,Amalapuram,Andhra Pradesh,19
7,MAKEY DAVY PRASAD,Independent,2104,7,2111,0.16,Amalapuram,Andhra Pradesh,20
8,GUDE VENKATESWARULU,Independent,1741,4,1745,0.13,Amalapuram,Andhra Pradesh,21
9,RAMESH JILLELLA,Jatiya Jana Sena Party,866,6,872,0.07,Amalapuram,Andhra Pradesh,22
10,YALANGI RAMESH,Jaibhim Rao Bharat Party,738,2,740,0.06,Amalapuram,Andhra Pradesh,23
11,MATHA KRISHNA,Pyramid Party of India,718,1,719,0.06,Amalapuram,Andhra Pradesh,24
12,GIDDI JNANA PRAKASA RAO,Republican Party of India,717,9,726,0.06,Amalapuram,Andhra Pradesh,25
13,YADLA RAJESH,Liberation Congress Party,628,7,635,0.05,Amalapuram,Andhra Pradesh,26
14,KAPA KALYAN,Republican Party of India (A),579,2,581,0.04,Amalapuram,Andhra Pradesh,27
15,PATHURI RAMESH,Peoples Party of India (Democratic),502,3,505,0.04,Amalapuram,Andhra Pradesh,28
16,NOTA,None of the Above,13418,100,13518,1.04,Amalapuram,Andhra Pradesh,29
1,C.M.RAMESH,Bharatiya Janata Party,750027,12042,762069,57.5,Anakapalle,Andhra Pradesh,30
2,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,459762,5777,465539,35.13,Anakapalle,Andhra Pradesh,31
3,VEGI VENKATESH,Indian National Congress,24833,818,25651,1.94,Anakapalle,Andhra Pradesh,32
4,PALAKA SREERAMA MURTHY,Bahujan Samaj Party,19082,75,19157,1.45,Anakapalle,Andhra Pradesh,33
5,VANKAYALA RAMACHANDRA RAO,Independent,4001,1,4002,0.3,Anakapalle,Andhra Pradesh,34
6,LOVARAJU SIDDHA,Independent,3845,7,3852,0.29,Anakapalle,Andhra Pradesh,35
7,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,3549,8,3557,0.27,Anakapalle,Andhra Pradesh,36
8,GARA SURYA RAO,Independent,3116,8,3124,0.24,Anakapalle,Andhra Pradesh,37
9,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,2589,30,2619,0.2,Anakapalle,Andhra Pradesh,38
10,NAGESWARA RAO PETLA,Independent,2179,5,2184,0.16,Anakapalle,Andhra Pradesh,39
11,ADARI SARAT CHANDRA,Jai Bharat National Party,1886,27,1913,0.14,Anakapalle,Andhra Pradesh,40
12,VIJAYA LAKSHMI KARRI,Pyramid Party of India,1578,13,1591,0.12,Anakapalle,Andhra Pradesh,41
13,DR. THUMMAPALA HARI  SHANKAR,Independent,1567,9,1576,0.12,Anakapalle,Andhra Pradesh,42
14,JUNNURI J SRINIVAS,Independent,1195,6,1201,0.09,Anakapalle,Andhra Pradesh,43
15,APPALANAIDU TUMMAGUNTA,Independent,1055,7,1062,0.08,Anakapalle,Andhra Pradesh,44
16,NOTA,None of the Above,26084,151,26235,1.98,Anakapalle,Andhra Pradesh,45
1,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,755862,12383,768245,53.33,Ananthapur,Andhra Pradesh,46
2,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,573769,5921,579690,40.24,Ananthapur,Andhra Pradesh,47
3,MALLIKARJUNA VAJJALA,Indian National Congress,41954,1263,43217,3,Ananthapur,Andhra Pradesh,48
4,G.V.RAMANA REDDY,Independent,6436,3,6439,0.45,Ananthapur,Andhra Pradesh,49
5,BANASI NARAYANAPPA,Bahujan Samaj Party,6280,116,6396,0.44,Ananthapur,Andhra Pradesh,50
6,V.MURALI PRASAD REDDY,Independent,5775,3,5778,0.4,Ananthapur,Andhra Pradesh,51
7,DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4862,127,4989,0.35,Ananthapur,Andhra Pradesh,52
8,M.SURENDRA,Pyramid Party of India,2927,8,2935,0.2,Ananthapur,Andhra Pradesh,53
9,U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,2533,7,2540,0.18,Ananthapur,Andhra Pradesh,54
10,P.CHOWDESWARI,Independent,1514,4,1518,0.11,Ananthapur,Andhra Pradesh,55
11,VADLA KESAVAIAH,Independent,1488,6,1494,0.1,Ananthapur,Andhra Pradesh,56
12,B.RAGHAVENDRA PRASAD,Independent,1317,1,1318,0.09,Ananthapur,Andhra Pradesh,57
13,KETHIREDDY RAGHUNATHAREDDY,Independent,1086,5,1091,0.08,Ananthapur,Andhra Pradesh,58
14,LOKANATH GOWD SURAGOWINI,Independent,1085,6,1091,0.08,Ananthapur,Andhra Pradesh,59
15,SREERANGARAJULA GOPINATH ROYAL,Independent,903,1,904,0.06,Ananthapur,Andhra Pradesh,60
16,SHAIK.NIZAM,Samajwadi Party,749,4,753,0.05,Ananthapur,Andhra Pradesh,61
17,RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,735,10,745,0.05,Ananthapur,Andhra Pradesh,62
18,KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,574,4,578,0.04,Ananthapur,Andhra Pradesh,63
19,B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST),566,4,570,0.04,Ananthapur,Andhra Pradesh,64
20,SRINIVASA RAJU.O,Bhartiya Panchyat Party,489,5,494,0.03,Ananthapur,Andhra Pradesh,65
21,DURGA PRASAD D BYATARAYANAJI,Challengers Party,439,5,444,0.03,Ananthapur,Andhra Pradesh,66
22,NOTA,None of the Above,9014,185,9199,0.64,Ananthapur,Andhra Pradesh,67
1,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470,5535,477005,40.96,Araku,Andhra Pradesh,68
2,KOTHAPALLI GEETHA,Bharatiya Janata Party,417113,9312,426425,36.62,Araku,Andhra Pradesh,69
3,APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),119016,4113,123129,10.57,Araku,Andhra Pradesh,70
4,AVASHYA LAHARI . VARAM,Bahujan Samaj Party,24858,892,25750,2.21,Araku,Andhra Pradesh,71
5,SAMAREDDY BALAKRISHNA,Independent,9493,42,9535,0.82,Araku,Andhra Pradesh,72
6,NIMMAKA JAYARAJU,Independent,8798,664,9462,0.81,Araku,Andhra Pradesh,73
7,ATHIDHI,Independent,8121,15,8136,0.7,Araku,Andhra Pradesh,74
8,CHANTI BADNAINA,Jai Bharat National Party,7205,47,7252,0.62,Araku,Andhra Pradesh,75
9,MOTTADAM . RAJABABU,Bharat Adivasi Party,6370,396,6766,0.58,Araku,Andhra Pradesh,76
10,RANJITH KUMAR PALAKA,Independent,6000,47,6047,0.52,Araku,Andhra Pradesh,77
11,RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4933,26,4959,0.43,Araku,Andhra Pradesh,78
12,MANDALA GIRIDHARA RAO,Independent,4931,36,4967,0.43,Araku,Andhra Pradesh,79
13,VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party,4500,42,4542,0.39,Araku,Andhra Pradesh,80
14,NOTA,None of the Above,50205,265,50470,4.33,Araku,Andhra Pradesh,81
1,KRISHNA PRASAD TENNETI,Telugu Desam,706757,10736,717493,55.16,Bapatla,Andhra Pradesh,82
2,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,503816,5646,509462,39.17,Bapatla,Andhra Pradesh,83
3,J.D. SEELAM,Indian National Congress,41673,1586,43259,3.33,Bapatla,Andhra Pradesh,84
4,DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party,6774,83,6857,0.53,Bapatla,Andhra Pradesh,85
5,NALAMALA TIRUPATI RAO,Navataram Party,2888,76,2964,0.23,Bapatla,Andhra Pradesh,86
6,BUSSA. NAGARAJU,Independent,1311,7,1318,0.1,Bapatla,Andhra Pradesh,87
7,GADDE. VIJAYA LAKSHMI,Independent,1046,5,1051,0.08,Bapatla,Andhra Pradesh,88
8,KATTAPOGU. VIJAY KUMAR,Pyramid Party of India,893,4,897,0.07,Bapatla,Andhra Pradesh,89
9,KONDRU KIRAN KUMAR,Independent,791,6,797,0.06,Bapatla,Andhra Pradesh,90
10,KATTA ANAND BABU,Independent,704,25,729,0.06,Bapatla,Andhra Pradesh,91
11,MERUGUPALA SADASIVA RAO,India Praja Bandhu Party,669,4,673,0.05,Bapatla,Andhra Pradesh,92
12,KATTA HEMANAND,Independent,547,2,549,0.04,Bapatla,Andhra Pradesh,93
13,PARRE. KOTAIAH,Jaibhim Rao Bharat Party,408,4,412,0.03,Bapatla,Andhra Pradesh,94
14,PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party,294,12,306,0.02,Bapatla,Andhra Pradesh,95
15,CHINNAM MURALIDHAR,All Peoples Party,252,3,255,0.02,Bapatla,Andhra Pradesh,96
16,NOTA,None of the Above,13599,124,13723,1.06,Bapatla,Andhra Pradesh,97
1,DAGGUMALLA PRASADA RAO,Telugu Desam,765536,12535,778071,54.84,Chittoor,Andhra Pradesh,98
2,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,552469,5123,557592,39.3,Chittoor,Andhra Pradesh,99
3,MOTUKUR JAGAPATHI,Indian National Congress,29431,719,30150,2.12,Chittoor,Andhra Pradesh,100
4,THOGURU VIJAYA KUMAR,Bahujan Samaj Party,13389,122,13511,0.95,Chittoor,Andhra Pradesh,101
