S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
1,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,763028,7431,770459,68.28,Ahmedabad East,Gujarat,1
2,HIMMATSINH PRAHLADSINH PATEL,Indian National Congress,303713,4991,308704,27.36,Ahmedabad East,Gujarat,2
3,MAKWANA JAYANTIBHAI KANJIBHAI,Bahujan Samaj Party,10235,247,10482,0.93,Ahmedabad East,Gujarat,3
4,BRIJESH SHARMA,Independent,4514,12,4526,0.4,Ahmedabad East,Gujarat,4
5,HARSHAD BABUBHAI NANDOLIYA,Independent,3554,17,3571,0.32,Ahmedabad East,Gujarat,5
6,MAHESHKUMAR SOMABHAI THAKOR,Independent,3005,28,3033,0.27,Ahmedabad East,Gujarat,6
7,KALPESHBHAI  SHETE,Gunj Satya Ni Janata Party,2927,10,2937,0.26,Ahmedabad East,Gujarat,7
8,PATANI VISHNUBHAI NATAVARBHAI,Independent,2377,43,2420,0.21,Ahmedabad East,Gujarat,8
9,ZALA SANJAYKUMAR MAHOBATSINH,Independent,2310,56,2366,0.21,Ahmedabad East,Gujarat,9
10,DASHARATHBHAI KANTILAL PANCHAL,Independent,1474,6,1480,0.13,Ahmedabad East,Gujarat,10
11,PRAMOD SAHDEVBHAI GUDADE,Swatantrata Abhivyakti Party,1275,4,1279,0.11,Ahmedabad East,Gujarat,11
12,RAJESH HARIRAM MAURYA,Prajatantra Aadhar Party,1199,13,1212,0.11,Ahmedabad East,Gujarat,12
13,INGOLE ROOPESHBHAI BABUBHAI,Independent,1153,16,1169,0.1,Ahmedabad East,Gujarat,13
14,DHANANJAY GIRJASHANKAR RAJPUT,Bhartiya Jan Parishad,1083,37,1120,0.1,Ahmedabad East,Gujarat,14
15,MANISH KUMAR DUBEY,Swaraj Kranti Party,898,11,909,0.08,Ahmedabad East,Gujarat,15
16,CHAUHAN MOHAMADFARUK  AHEMADHASANBHAI,Independent,771,7,778,0.07,Ahmedabad East,Gujarat,16
17,HITENDRABHAI PATEL,Aadi Bharat Party,722,20,742,0.07,Ahmedabad East,Gujarat,17
18,PIYUSHBHAI BHAVSAR,Youth India Peace Party,642,7,649,0.06,Ahmedabad East,Gujarat,18
19,NOTA,None of the Above,9911,592,10503,0.93,Ahmedabad East,Gujarat,19
1,DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party,606545,5159,611704,63.28,Ahmedabad West,Gujarat,20
2,BHARAT YOGENDRA MAKWANA,Indian National Congress,321972,3295,325267,33.65,Ahmedabad West,Gujarat,21
3,ANILKUMAR VASANTBHAI VAGHELA,Bahujan Samaj Party,9448,152,9600,0.99,Ahmedabad West,Gujarat,22
