S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
1,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,667441,3598,671039,50.93,Bagalkot,Karnataka,1
2,SAMYUKTA SHIVANAND PATIL,Indian National Congress,600741,1899,602640,45.74,Bagalkot,Karnataka,2
3,NAGARAJ. S. KALKUTAGAR,Independent,5628,1,5629,0.43,Bagalkot,Karnataka,3
4,PARASHURAM. LAXMAN. NEELANAIK,Independent,5084,6,5090,0.39,Bagalkot,Karnataka,4
5,ANTHOSH SAVVASE,Uttama Prajaakeeya Party,4909,14,4923,0.37,Bagalkot,Karnataka,5
6,JYOTI GULEDGUDDA,Independent,4636,9,4645,0.35,Bagalkot,Karnataka,6
7,M. B. SIDAGONI,Bahujan Samaj Party,4453,26,4479,0.34,Bagalkot,Karnataka,7
8,DR. MUTTU. S. SURAKOD. (MADAR),Independent,3131,4,3135,0.24,Bagalkot,Karnataka,8
9,PRASHANT RAO,Independent,1909,5,1914,0.15,Bagalkot,Karnataka,9
10,DATTATREYA DASHARATHA TAVARE,Independent,1607,13,1620,0.12,Bagalkot,Karnataka,10
11,AMBROSE D' MELLO,Independent,1203,2,1205,0.09,Bagalkot,Karnataka,11
12,KENGANAL. MALLIKARJUN. BHIMAPPA,Independent,1189,18,1207,0.09,Bagalkot,Karnataka,12
13,MALLIKARJUN H. T.,Socialist Unity Centre Of India (COMMUNIST),1137,7,1144,0.09,Bagalkot,Karnataka,13
14,RAJESAB BURANSAB. MASALI,Independent,988,4,992,0.08,Bagalkot,Karnataka,14
15,SHARANAPPA MALLAPPA KOTLANNAVAR,Independent,830,2,832,0.06,Bagalkot,Karnataka,15
16,RAVI SHIVAPPA PADASALAGI,Independent,654,2,656,0.05,Bagalkot,Karnataka,16
17,SAIYYAD IMAMSAB JAKALI,Tipu Sultan Party,546,4,550,0.04,Bagalkot,Karnataka,17
18,ABDULAZIZ KALADAGI PENDARI,Independent,524,5,529,0.04,Bagalkot,Karnataka,18
19,MUTTAPPA MUDAKAPPA HIREKUMBI,Raita Bharat Party,509,9,518,0.04,Bagalkot,Karnataka,19
20,SAGAR. BASAPPA. KUMBAR,Karnataka Rashtra Samithi,494,5,499,0.04,Bagalkot,Karnataka,20
21,S. M. MARIGOUDAR,Desh Prem Party,451,3,454,0.03,Bagalkot,Karnataka,21
22,SHANKAR. VENKAPPA. NAIKAR.,Republican Party of India (A),431,10,441,0.03,Bagalkot,Karnataka,22
23,NOTA,None of the Above,3398,22,3420,0.26,Bagalkot,Karnataka,23
1,P C MOHAN,Bharatiya Janata Party,657236,1679,658915,50.05,Bangalore central,Karnataka,24
2,MANSOOR ALI KHAN,Indian National Congress,625368,840,626208,47.57,Bangalore central,Karnataka,25
