S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
1,BHARTI PARDHI,Bharatiya Janata Party,709939,2721,712660,51.56,BALAGHAT,Madhya Pradesh,1
2,SAMRAT ASHOK SINGH SARASWAR,Indian National Congress,536333,1815,538148,38.93,BALAGHAT,Madhya Pradesh,2
3,KANKAR MUNJARE,Bahujan Samaj Party,52883,251,53134,3.84,BALAGHAT,Madhya Pradesh,3
4,BHUVAN SINGH KORAM,Independent,13028,46,13074,0.95,BALAGHAT,Madhya Pradesh,4
5,NANDLAL UIKEY,Gondvana Gantantra Party,12338,84,12422,0.9,BALAGHAT,Madhya Pradesh,5
6,D.L. MANESHWAR,Peoples Party of India (Democratic),9994,23,10017,0.72,BALAGHAT,Madhya Pradesh,6
7,DHANENDRA DEV PAWAR BANWARI SETH,Independent,7185,60,7245,0.52,BALAGHAT,Madhya Pradesh,7
8,MAHADEV NAGDEVE,Independent,7181,11,7192,0.52,BALAGHAT,Madhya Pradesh,8
9,RAJKUMAR NAGESHWER,Independent,6723,5,6728,0.49,BALAGHAT,Madhya Pradesh,9
10,MOHAN RAUT,Rashtravadi Bharat Party,3537,5,3542,0.26,BALAGHAT,Madhya Pradesh,10
11,PRIYANKA SANJAY BHANDARKAR,Bhartiya Shakti Chetna Party,2906,20,2926,0.21,BALAGHAT,Madhya Pradesh,11
12,ADVOCATE SATYAPRAKASH SHULKE (LODHI),Madhya Pradesh Jan Vikas Party,1929,3,1932,0.14,BALAGHAT,Madhya Pradesh,12
13,DILEEP CHHABDA,Independent,1733,17,1750,0.13,BALAGHAT,Madhya Pradesh,13
14,NOTA,None of the Above,11479,31,11510,0.83,BALAGHAT,Madhya Pradesh,14
1,DURGADAS (D. D.) UIKEY,Bharatiya Janata Party,846696,1540,848236,60.76,BETUL,Madhya Pradesh,15
2,RAMU TEKAM,Indian National Congress,467810,665,468475,33.56,BETUL,Madhya Pradesh,16
3,ARJUN ASHOK BHALAVI,Bahujan Samaj Party,26559,38,26597,1.91,BETUL,Madhya Pradesh,17
4,ANIL UIKEY,Bharat Adivasi Party,10552,24,10576,0.76,BETUL,Madhya Pradesh,18
5,BHURELAL CHOTELAL BETHEKAR,Independent,7800,11,7811,0.56,BETUL,Madhya Pradesh,19
6,BHAGCHARAN WARKADE,Independent,5957,11,5968,0.43,BETUL,Madhya Pradesh,20
7,SUNER UIKEY,Gondvana Gantantra Party,4172,14,4186,0.3,BETUL,Madhya Pradesh,21
8,BARSKAR SUBHASH KORAKU,Swatantra Kisan Party,3831,18,3849,0.28,BETUL,Madhya Pradesh,22
9,NOTA,None of the Above,20309,13,20322,1.46,BETUL,Madhya Pradesh,23
1,SANDHYA RAY,Bharatiya Janata Party,533462,3603,537065,51.2,BHIND,Madhya Pradesh,24
2,PHOOL SINGH BARAIYA,Indian National Congress,470169,2056,472225,45.02,BHIND,Madhya Pradesh,25
3,DEVASHISH JARARIYA,Bahujan Samaj Party,20322,143,20465,1.95,BHIND,Madhya Pradesh,26
4,UMESH GARG,Independent,5057,15,5072,0.48,BHIND,Madhya Pradesh,27
5,REKHA SHAKYA,Independent,2645,22,2667,0.25,BHIND,Madhya Pradesh,28
6,HARIMOHAN,Independent,2598,12,2610,0.25,BHIND,Madhya Pradesh,29
7,RAKESH,Independent,2345,24,2369,0.23,BHIND,Madhya Pradesh,30
8,NOTA,None of the Above,6486,48,6534,0.62,BHIND,Madhya Pradesh,31
1,ALOK SHARMA,Bharatiya Janata Party,978285,2824,981109,65.48,BHOPAL,Madhya Pradesh,32
2,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,478698,912,479610,32.01,BHOPAL,Madhya Pradesh,33
3,BHANU PRATAP SINGH,Bahujan Samaj Party,13255,50,13305,0.89,BHOPAL,Madhya Pradesh,34
4,DEENDAYAL AHIRWAR URF DEENU BHAIYA,Independent,3639,2,3641,0.24,BHOPAL,Madhya Pradesh,35
5,JAY SINGH,Independent,2509,1,2510,0.17,BHOPAL,Madhya Pradesh,36
6,BHARTI YADAV,Independent,1833,6,1839,0.12,BHOPAL,Madhya Pradesh,37
7,ANKIT RAI,Independent,1100,1,1101,0.07,BHOPAL,Madhya Pradesh,38
8,DHANRAJ SHENDE,Republican Party of India (A),788,2,790,0.05,BHOPAL,Madhya Pradesh,39
