S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
1,NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar,622144,2653,624797,47.14,Ahmednagar,Maharashtra,1
2,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,593568,2300,595868,44.95,Ahmednagar,Maharashtra,2
3,ALEKAR GORAKH DASHRATH,Independent,44582,15,44597,3.36,Ahmednagar,Maharashtra,3
4,DEELIP KONDIBA KHEDKAR,Vanchit Bahujan  Aaghadi,13689,60,13749,1.04,Ahmednagar,Maharashtra,4
5,AMOL VILAS PACHUNDKAR,Independent,5491,2,5493,0.41,Ahmednagar,Maharashtra,5
6,BHAGWAT DHONDIBA GAIKWAD,Samata Party,4941,3,4944,0.37,Ahmednagar,Maharashtra,6
7,UMASHANKAR SHYAMBABU YADAV,Bahujan Samaj Party,4509,30,4539,0.34,Ahmednagar,Maharashtra,7
8,ADV. JAMIR SHAIKH,Independent,3934,1,3935,0.3,Ahmednagar,Maharashtra,8
9,AARTI KISHORKUMAR HALDAR,Prabuddha Republican Party,3790,9,3799,0.29,Ahmednagar,Maharashtra,9
10,NAVSHAD MUNSILAL SHAIKH,Independent,2226,-,2226,0.17,Ahmednagar,Maharashtra,10
11,SURYABHAN (ALIAS SURESH) DATTATRAYA LAMBE,Independent,2092,-,2092,0.16,Ahmednagar,Maharashtra,11
12,KALIRAM BAHIRU POPALGHAT,Bhartiya Navjawan Sena (Paksha),1975,6,1981,0.15,Ahmednagar,Maharashtra,12
13,GAVADE MACCHINDRA RADHAKISAN,Independent,1940,1,1941,0.15,Ahmednagar,Maharashtra,13
14,PRAVIN SUBHASH DALVI,Independent,1896,2,1898,0.14,Ahmednagar,Maharashtra,14
15,MADAN KANIFNATH SONVANE,Right to Recall Party,1445,6,1451,0.11,Ahmednagar,Maharashtra,15
16,DR. KAILASH NIVRUTTI JADHAV,Maharashtra Vikas Aghadi,1425,10,1435,0.11,Ahmednagar,Maharashtra,16
17,KOTHARI RAVINDRA LILACHAND,Rashtriya Janmanch (Secular),1330,3,1333,0.1,Ahmednagar,Maharashtra,17
18,ADV. SHIVAJIRAO WAMAN DAMALE (EX. SGT OF IAF),Sainik Samaj Party,1093,11,1104,0.08,Ahmednagar,Maharashtra,18
19,GANGADHAR HARIBHAU KOLEKAR,Independent,1059,-,1059,0.08,Ahmednagar,Maharashtra,19
20,DATTATRAY APPA WAGHMODE,Rashtriya Jankranti Party,868,5,873,0.07,Ahmednagar,Maharashtra,20
21,WABLE BHAUSAHEB BAPURAO,Bharatheeya Jawan Kisan Party,790,11,801,0.06,Ahmednagar,Maharashtra,21
22,SHEKATKAR ANIL GANPAT,Independent,702,-,702,0.05,Ahmednagar,Maharashtra,22
23,ADV. MAHENDRA DADASAHEB SHINDE,Independent,674,1,675,0.05,Ahmednagar,Maharashtra,23
24,BILAL GAFUR SHAIKH,Independent,531,-,531,0.04,Ahmednagar,Maharashtra,24
25,RAOSAHEB SHANKAR KALE,Independent,370,2,372,0.03,Ahmednagar,Maharashtra,25
26,NOTA,None of the Above,3254,28,3282,0.25,Ahmednagar,Maharashtra,26
1,ANUP SANJAY DHOTRE,Bharatiya Janata Party,454972,2058,457030,38.96,Akola,Maharashtra,27
2,ABHAY KASHINATH PATIL,Indian National Congress,414557,1847,416404,35.5,Akola,Maharashtra,28
3,AMBEDKAR PRAKASH YASHWANT,Vanchit Bahujan  Aaghadi,275490,1257,276747,23.59,Akola,Maharashtra,29
4,ADV NAJIB SHAIKH,Indian National League,3288,12,3300,0.28,Akola,Maharashtra,30
5,KASHINATH VISHWANATH DHAMODE,Bahujan Samaj Party,2737,23,2760,0.24,Akola,Maharashtra,31
6,MURLIDHAR LALSING PAWAR,Independent,2058,8,2066,0.18,Akola,Maharashtra,32
7,ADHAU RAVIKANT RAMKRUSHNA,Jay Vidarbha Party,1710,24,1734,0.15,Akola,Maharashtra,33
8,AACHARYADIP SUBHASHCHANDRA GANOJE,Independent,1610,8,1618,0.14,Akola,Maharashtra,34
9,UJWALA VINAYAK RAUT,Independent,1298,8,1306,0.11,Akola,Maharashtra,35
10,DHARMENDRA CHANDRAPRAKASH KOTHARI,Independent,1236,4,1240,0.11,Akola,Maharashtra,36
11,DILIP SHATRUGHAN MHAISANE,Independent,860,2,862,0.07,Akola,Maharashtra,37
12,ASHOK KISANRAO THORAT,Independent,573,8,581,0.05,Akola,Maharashtra,38
13,MOHMMAD AJAZ MOHMMAD TAHER,Azad Adhikar Sena,564,4,568,0.05,Akola,Maharashtra,39
14,BABAN MAHADEV SAYAM,Janseva Gondwana Party,535,2,537,0.05,Akola,Maharashtra,40
15,PRITI PRAMOD SADANSHIV,Republican Party of India (Social),528,8,536,0.05,Akola,Maharashtra,41
16,NOTA,None of the Above,5752,31,5783,0.49,Akola,Maharashtra,42
1,BALWANT BASWANT WANKHADE,Indian National Congress,524136,2135,526271,44.84,Amravati,Maharashtra,43
2,NAVNEET RAVI RANA,Bharatiya Janata Party,504806,1734,506540,43.16,Amravati,Maharashtra,44
3,DINESH GANESHDAS BUB,Prahar Janshakti Party,84985,315,85300,7.27,Amravati,Maharashtra,45
4,ANANDRAJ YASHWANT AMBEDKAR,Republican Sena,18713,80,18793,1.6,Amravati,Maharashtra,46
5,KISHOR BHIMRAO LABADE,Independent,4522,2,4524,0.39,Amravati,Maharashtra,47
