S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
1,ANITA SUBHADARSHINI,Bharatiya Janata Party,493032,1194,494226,48.55,Aska,Odisha,1
2,RANJITA SAHU,Biju Janata Dal,393759,493,394252,38.73,Aska,Odisha,2
3,DEBAKANTA SARMA,Indian National Congress,75108,147,75255,7.39,Aska,Odisha,3
4,SANJAYA KUMAR BISHOYI,Independent,11234,6,11240,1.1,Aska,Odisha,4
5,PAPUNU SAHU,Socialist Unity Centre Of India (COMMUNIST),8671,2,8673,0.85,Aska,Odisha,5
6,PITABAS SAHU,Sanatan Sanskriti Raksha Dal,6888,-,6888,0.68,Aska,Odisha,6
7,BRUNDABANA NAHAK,Bahujan Samaj Party,5430,9,5439,0.53,Aska,Odisha,7
8,NOTA,None of the Above,21925,16,21941,2.16,Aska,Odisha,8
1,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,561590,2275,563865,45.49,Balasore,Odisha,9
2,LEKHASRI SAMANTSINGHAR,Biju Janata Dal,415917,792,416709,33.62,Balasore,Odisha,10
3,SHRIKANTA JENA,Indian National Congress,236081,926,237007,19.12,Balasore,Odisha,11
4,RAJAT KUMAR BEHERA,Bahujan Samaj Party,2913,7,2920,0.24,Balasore,Odisha,12
5,GOBINDA CHANDRA BHOI,National Apni Party,2640,-,2640,0.21,Balasore,Odisha,13
6,SURYAKANTA DASMOHAPATRA,Independent,2156,5,2161,0.17,Balasore,Odisha,14
7,MAHAMEGHABAHAN AIRA KHARABELA SWAIN,Independent,1863,5,1868,0.15,Balasore,Odisha,15
8,PRAMOD KUMAR PATTAYAT,Independent,1637,2,1639,0.13,Balasore,Odisha,16
9,BIREN PUHAN,Krupaa Party,1450,2,1452,0.12,Balasore,Odisha,17
10,DEEPAK SANKAR THAKUR GIRI,Independent,1191,3,1194,0.1,Balasore,Odisha,18
11,AKHIL KUMAR MOHANTA,Independent,829,1,830,0.07,Balasore,Odisha,19
12,NOTA,None of the Above,7333,17,7350,0.59,Balasore,Odisha,20
1,PRADEEP PUROHIT,Bharatiya Janata Party,709606,6753,716359,54.69,Bargarh,Odisha,21
2,PARINITA MISHRA,Biju Janata Dal,463008,1684,464692,35.48,Bargarh,Odisha,22
3,SANJAY BHOI,Indian National Congress,92666,885,93551,7.14,Bargarh,Odisha,23
4,JAYARAM BAGH,Bahujan Samaj Party,9215,107,9322,0.71,Bargarh,Odisha,24
5,GNYANENDRA BEHERA,Independent,4539,24,4563,0.35,Bargarh,Odisha,25
6,DEVIKA SIKA,National Apni Party,4524,14,4538,0.35,Bargarh,Odisha,26
7,PRABHAT KUMAR DHARUA,Independent,4294,4,4298,0.33,Bargarh,Odisha,27
8,NOTA,None of the Above,12414,127,12541,0.96,Bargarh,Odisha,28
